carbons,naive_1,naive_2,naive_3,naive_4,naive_5,canonical_1,canonical_2,canonical_3,canonical_4,canonical_5,breakid_1,breakid_2,breakid_3,breakid_4,breakid_5,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,molgen_1,molgen_2,molgen_3,molgen_4,molgen_5
1,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.021,0.018,0.021,0.019,0.021,0.335,0.312,0.323,0.321,0.362
2,0.003,0.003,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.021,0.021,0.019,0.021,0.021,0.338,0.347,0.381,0.37,0.378
3,0.005,0.005,0.005,0.005,0.005,0.006,0.004,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.023,0.022,0.023,0.023,0.024,0.333,0.313,0.334,0.349,0.314
4,0.017,0.017,0.017,0.023,0.017,0.011,0.009,0.01,0.01,0.009,0.033,0.032,0.031,0.032,0.035,0.027,0.024,0.027,0.028,0.027,0.358,0.353,0.325,0.345,0.361
5,0.252,0.281,0.281,0.284,0.281,0.025,0.029,0.028,0.029,0.025,0.468,0.501,0.49,0.475,0.512,0.034,0.034,0.029,0.029,0.033,0.342,0.344,0.363,0.371,0.362
6,6.431,6.538,6.42,6.529,6.651,0.134,0.11,0.13,0.119,0.13,20.408,23.825,22.887,22.16,22.156,0.056,0.052,0.056,0.051,0.055,0.364,0.404,0.424,0.37,0.361
7,213.54,194.965,206.839,193.192,213.462,0.709,0.728,0.823,0.717,0.713,None,None,None,None,None,0.113,0.102,0.113,0.113,0.114,0.388,0.397,0.397,0.425,0.404
8,None,None,None,None,None,4.942,4.715,4.926,4.928,4.876,None,None,None,None,None,0.241,0.252,0.253,0.252,0.273,0.438,0.448,0.489,0.471,0.445
9,None,None,None,None,None,37.06,33.748,35.498,37.379,34.227,None,None,None,None,None,0.766,0.776,0.81,0.748,0.745,0.58,0.546,0.598,0.603,0.535
10,None,None,None,None,None,342.884,271.917,302.151,219.174,331.213,None,None,None,None,None,2.601,2.336,2.489,2.378,2.388,0.816,0.794,0.819,0.707,0.799
11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9.359,8.806,8.669,8.366,9.082,1.342,1.335,1.336,1.336,1.31
12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31.523,30.725,31.627,29.941,32.002,2.317,2.311,2.329,2.204,2.293
13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,199.999,155.594,177.075,174.515,160.81,4.763,4.763,4.758,4.761,4.697
14,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,637.244,550.426,564.869,567.881,550.58,12.141,12.125,12.218,12.148,12.194
15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32.75,32.92,32.858,32.998,32.79
